TSP Name,TSP,Location,Location_Name,Location_Zone,Loc_Purp,All_Qty_Avail,Loc/QTI,Flow_Ind,IT,Design_Capacity,Operational_Capacity,TSQ,OAC,Eff_Gas_Day/Time,CycleDesc,Posting_Date/Time,Measurement_Basis,Pressure_Base
Kinetica Partners LLC,17960426,10516,010516-T-S PASS BLK 24 DEHY,1.0,M2,Y,RDQ,R,Y,19058,19058,1,19057,08/30/2022 09:00:00 AM,Evening,08/29/2022 08:35:48 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,12815,012815-T-EGAN A SOUTH,1.0,M2,Y,RDQ,R,N,62000,35000,0,35000,08/30/2022 09:00:00 AM,Evening,08/29/2022 08:35:48 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,11692,011692-T-SMI 106A,1.0,M2,Y,RDQ,R,Y,72492,72492,100,72392,08/30/2022 09:00:00 AM,Evening,08/29/2022 08:35:48 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,501310,050131-T-PORT SULPHUR RECEIPT,1.0,M2,Y,RDQ,R,N,0,0,0,0,08/30/2022 09:00:00 AM,Evening,08/29/2022 08:35:48 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,10428,010428-T-MP BLK 35 DEHY HALTER ISL,1.0,M2,Y,RDQ,R,Y,19898,19898,499,19399,08/30/2022 09:00:00 AM,Evening,08/29/2022 08:35:48 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,12745,012745-T-LITTLE PECAN ISLAND: RIP 507A 118,1.0,M2,Y,RDQ,R,Y,38991,38991,220,38771,08/30/2022 09:00:00 AM,Evening,08/29/2022 08:35:48 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,11366,011366-T-VR 245 E,1.0,M2,Y,RDQ,R,N,131465,131465,1940,129525,08/30/2022 09:00:00 AM,Evening,08/29/2022 08:35:48 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,18003,018003-T-Pecan Island Station 600,1.0,M2,Y,RDQ,R,Y,11000,11000,1750,9250,08/30/2022 09:00:00 AM,Evening,08/29/2022 08:35:48 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,50130,050130-T-PORT SULPHUR FLASH DEL,1.0,MQ,Y,RDQ,D,N,2000,2000,0,2000,08/30/2022 09:00:00 AM,Timely,08/29/2022 04:23:37 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,10210,010210-T-GRAND CHENIER DEHY,1.0,M2,Y,RDQ,R,Y,25828,25828,50,25778,08/30/2022 09:00:00 AM,Timely,08/29/2022 04:23:37 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,12714,012714-T-LAKE WASHINGTON SL 212,1.0,M2,Y,RDQ,R,Y,48565,48565,1725,46840,08/30/2022 09:00:00 AM,Timely,08/29/2022 04:23:37 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,14017,014017-T-VR 78,1.0,M2,Y,RDQ,R,Y,6000,6000,4850,1150,08/30/2022 09:00:00 AM,Timely,08/29/2022 04:23:37 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,11210,011210-T-SMI  27 A,1.0,M2,Y,RDQ,R,Y,35821,35821,7100,28721,08/30/2022 09:00:00 AM,Timely,08/29/2022 04:23:37 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,24026,024026-T-HARVEST WHITE LAKE,1.0,MQ,Y,RDQ,D,Y,52459,52459,41135,11324,08/30/2022 09:00:00 AM,Timely,08/29/2022 04:23:37 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,12644,012644-T-SS BLK 110 A,1.0,M2,Y,RDQ,R,Y,31993,31993,4597,27396,08/30/2022 09:00:00 AM,Timely,08/29/2022 04:23:37 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,14013,014013-T-SS 169C RIP 523M-2911,1.0,M2,Y,RDQ,R,N,4500,4500,0,4500,08/30/2022 09:00:00 AM,Timely,08/29/2022 04:23:37 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,11180,011180-T-SS 198 H,1.0,M2,Y,RDQ,R,Y,173474,173474,200,173274,08/30/2022 09:00:00 AM,Timely,08/29/2022 04:23:37 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,24024,024024-T-SS 193A BUYBACK RIP 523M-2911,1.0,MQ,Y,RDQ,D,Y,4500,4500,1,4499,08/30/2022 09:00:00 AM,Timely,08/29/2022 04:23:37 PM,Million BTUs (DTH),14.73 psia
